auROC	Network	Method	Index
0.6140221423370427	PPI	pecanpy-PreComp	47
0.7723509648612173	PPI	pecanpy-PreComp	48
0.5545778824350254	PPI	pecanpy-PreComp	49
0.6009260471204187	PPI	pecanpy-SparseOTF	0
0.8268805891635982	PPI	pecanpy-SparseOTF	1
0.6144238683127573	PPI	pecanpy-SparseOTF	2
0.585332608104433	PPI	pecanpy-SparseOTF	3
0.7458182826990364	PPI	pecanpy-SparseOTF	4
0.8291799480874047	PPI	pecanpy-SparseOTF	5
0.715408640456642	PPI	pecanpy-SparseOTF	6
0.5503920484021176	PPI	pecanpy-SparseOTF	7
0.5673107573018928	PPI	pecanpy-SparseOTF	8
0.5626930568829291	PPI	pecanpy-SparseOTF	9
0.5980847553207044	PPI	pecanpy-SparseOTF	10
0.8502655106330888	PPI	pecanpy-SparseOTF	11
0.6730332063665396	PPI	pecanpy-SparseOTF	12
0.7166363042392099	PPI	pecanpy-SparseOTF	13
0.6762736600777253	PPI	pecanpy-SparseOTF	14
0.6885708297152439	PPI	pecanpy-SparseOTF	15
0.7154530686986827	PPI	pecanpy-SparseOTF	16
0.6796075311588438	PPI	pecanpy-SparseOTF	17
0.5734807801365978	PPI	pecanpy-SparseOTF	18
0.7290538133983409	PPI	pecanpy-SparseOTF	19
0.6782630264586962	PPI	pecanpy-SparseOTF	20
0.5549724158226268	PPI	pecanpy-SparseOTF	21
0.7902054039150814	PPI	pecanpy-SparseOTF	22
0.5367571945595705	PPI	pecanpy-SparseOTF	23
0.7889237746380603	PPI	pecanpy-SparseOTF	24
0.8852294680119716	PPI	pecanpy-SparseOTF	25
0.7687284226245481	PPI	pecanpy-SparseOTF	26
0.6754074530812731	PPI	pecanpy-SparseOTF	27
0.8151898816070388	PPI	pecanpy-SparseOTF	28
0.5660826825221371	PPI	pecanpy-SparseOTF	29
0.9080958061456208	PPI	pecanpy-SparseOTF	30
0.7144148568320448	PPI	pecanpy-SparseOTF	31
0.77114420475495	PPI	pecanpy-SparseOTF	32
0.8411679987778372	PPI	pecanpy-SparseOTF	33
0.7143905443182952	PPI	pecanpy-SparseOTF	34
0.8514373265494912	PPI	pecanpy-SparseOTF	35
0.6654333898235026	PPI	pecanpy-SparseOTF	36
0.6767909362537481	PPI	pecanpy-SparseOTF	37
0.5348852943507751	PPI	pecanpy-SparseOTF	38
0.7140698550837251	PPI	pecanpy-SparseOTF	39
0.6864743300463043	PPI	pecanpy-SparseOTF	40
0.6333892924401399	PPI	pecanpy-SparseOTF	41
0.7528366204690832	PPI	pecanpy-SparseOTF	42
0.8072835699751428	PPI	pecanpy-SparseOTF	43
0.6151419933823704	PPI	pecanpy-SparseOTF	44
0.6392910647532533	PPI	pecanpy-SparseOTF	45
0.7792207148170451	PPI	pecanpy-SparseOTF	46
0.5942249513139966	PPI	pecanpy-SparseOTF	47
0.7933710077245583	PPI	pecanpy-SparseOTF	48
0.6731048316762602	PPI	pecanpy-SparseOTF	49
0.6041287630890052	PPI	pecanpy-DenseOTF	0
0.8230510257759075	PPI	pecanpy-DenseOTF	1
0.6348928830791576	PPI	pecanpy-DenseOTF	2
0.6252368778895839	PPI	pecanpy-DenseOTF	3
0.756405059277796	PPI	pecanpy-DenseOTF	4
0.8249061509203652	PPI	pecanpy-DenseOTF	5
0.7015453066128623	PPI	pecanpy-DenseOTF	6
0.5949261842705619	PPI	pecanpy-DenseOTF	7
0.5887052619380511	PPI	pecanpy-DenseOTF	8
0.5593524523786942	PPI	pecanpy-DenseOTF	9
0.6115472175853555	PPI	pecanpy-DenseOTF	10
0.8178867210914218	PPI	pecanpy-DenseOTF	11
0.6637338637338638	PPI	pecanpy-DenseOTF	12
0.7043621968561438	PPI	pecanpy-DenseOTF	13
0.7115100511644812	PPI	pecanpy-DenseOTF	14
0.6847707877953109	PPI	pecanpy-DenseOTF	15
0.7139435288558096	PPI	pecanpy-DenseOTF	16
0.6667979479523721	PPI	pecanpy-DenseOTF	17
0.556521603340155	PPI	pecanpy-DenseOTF	18
0.7386812986766288	PPI	pecanpy-DenseOTF	19
0.6958716535300337	PPI	pecanpy-DenseOTF	20
0.5757706248067617	PPI	pecanpy-DenseOTF	21
0.797746511095859	PPI	pecanpy-DenseOTF	22
0.5237659433191291	PPI	pecanpy-DenseOTF	23
0.7888862724577009	PPI	pecanpy-DenseOTF	24
0.8795883533439346	PPI	pecanpy-DenseOTF	25
0.772195588050477	PPI	pecanpy-DenseOTF	26
0.64917079593165	PPI	pecanpy-DenseOTF	27
0.8014485346444976	PPI	pecanpy-DenseOTF	28
0.5690449872486761	PPI	pecanpy-DenseOTF	29
0.9115320934778234	PPI	pecanpy-DenseOTF	30
0.7321381561055208	PPI	pecanpy-DenseOTF	31
0.7567462350659612	PPI	pecanpy-DenseOTF	32
0.8648949009423154	PPI	pecanpy-DenseOTF	33
0.7045287127267744	PPI	pecanpy-DenseOTF	34
0.8222748034227567	PPI	pecanpy-DenseOTF	35
0.6428574381019303	PPI	pecanpy-DenseOTF	36
0.6540593023728369	PPI	pecanpy-DenseOTF	37
0.544221971850124	PPI	pecanpy-DenseOTF	38
0.6709617312249894	PPI	pecanpy-DenseOTF	39
0.6925086420415028	PPI	pecanpy-DenseOTF	40
0.617200046120143	PPI	pecanpy-DenseOTF	41
0.7164965351812367	PPI	pecanpy-DenseOTF	42
0.803342342443902	PPI	pecanpy-DenseOTF	43
0.5916160822680854	PPI	pecanpy-DenseOTF	44
0.6365099110176964	PPI	pecanpy-DenseOTF	45
0.8121880202614147	PPI	pecanpy-DenseOTF	46
0.6538898157863053	PPI	pecanpy-DenseOTF	47
0.7991381546961085	PPI	pecanpy-DenseOTF	48
0.5848857491714635	PPI	pecanpy-DenseOTF	49
0.4369649869109947	PPI	nodevectors	0
0.5125912677538139	PPI	nodevectors	1
0.5016370128298233	PPI	nodevectors	2
0.5070496911301916	PPI	nodevectors	3
0.4889566088797799	PPI	nodevectors	4
0.5148035860190006	PPI	nodevectors	5
0.5298937654290864	PPI	nodevectors	6
0.4928578125292982	PPI	nodevectors	7
0.47364275168522585	PPI	nodevectors	8
0.5012381904268591	PPI	nodevectors	9
0.49371042708622853	PPI	nodevectors	10
0.5227646875079146	PPI	nodevectors	11
0.4990618323951657	PPI	nodevectors	12
0.521869403128483	PPI	nodevectors	13
0.4872972292895687	PPI	nodevectors	14
0.5033833877294367	PPI	nodevectors	15
0.4717345974363519	PPI	nodevectors	16
0.48940091864161517	PPI	nodevectors	17
0.47233523189585025	PPI	nodevectors	18
0.5211151696954348	PPI	nodevectors	19
0.47950251775432207	PPI	nodevectors	20
0.48405966079470736	PPI	nodevectors	21
0.48770362939889367	PPI	nodevectors	22
0.48419677777129183	PPI	nodevectors	23
0.4378894121751264	PPI	nodevectors	24
0.5470759060323457	PPI	nodevectors	25
0.5646916514500736	PPI	nodevectors	26
0.5440761244334827	PPI	nodevectors	27
0.45894966681762306	PPI	nodevectors	28
0.5012484015691714	PPI	nodevectors	29
0.5584500847969185	PPI	nodevectors	30
0.48456334744939583	PPI	nodevectors	31
0.4925970263605238	PPI	nodevectors	32
0.5029045810273112	PPI	nodevectors	33
0.5211495814139139	PPI	nodevectors	34
0.5698759828862165	PPI	nodevectors	35
0.5055939734633985	PPI	nodevectors	36
0.5122824222056129	PPI	nodevectors	37
0.5157683466760272	PPI	nodevectors	38
0.5050163565018064	PPI	nodevectors	39
0.5202882815257652	PPI	nodevectors	40
0.4942601944732695	PPI	nodevectors	41
0.4701828358208956	PPI	nodevectors	42
0.5426944474192984	PPI	nodevectors	43
0.5317963610972253	PPI	nodevectors	44
0.4761392070232632	PPI	nodevectors	45
0.5290652120009919	PPI	nodevectors	46
0.442804887138295	PPI	nodevectors	47
0.4869838030640966	PPI	nodevectors	48
0.5102171637885924	PPI	nodevectors	49
0.7522057346393589	Wikipedia	orig-py	0
0.8450242564726148	Wikipedia	orig-py	1
0.8442925166234645	Wikipedia	orig-py	2
0.8095076845553036	Wikipedia	orig-py	3
0.7340712832269599	Wikipedia	orig-py	4
0.8593957405489746	Wikipedia	orig-py	5
0.6189288350680595	Wikipedia	orig-py	6
0.721413639100714	Wikipedia	orig-py	7
0.6399409417045502	Wikipedia	orig-py	8
0.8159691722972973	Wikipedia	orig-py	9
0.7203610906239204	Wikipedia	orig-py	10
0.7975427570574902	Wikipedia	orig-py	11
0.81768064383715	Wikipedia	orig-py	12
